Region,Delivery,MarketSize,Buses/MS,Range,WebClothes,WebShoes
Белгородскаяобласть,375,39,46,663,1661,261
Брянскаяобласть,312,27,16,384,1171,181
Владимирскаяобласть,300,29,14,196,1167,200
Воронежскаяобласть,300,59,22,515,2792,482
Ивановскаяобласть,319,21,43,308,772,107
Калужскаяобласть,306,25,4,182,832,116
Костромскаяобласть,325,13,14,345,527,78
Курскаяобласть,356,26,24,525,1072,123
Липецкаяобласть,312,29,55,463,1333,312
Московскаяобласть,150,251,4,50,6856,1224
Орловскаяобласть,306,15,36,362,750,131
Рязанскаяобласть,317,25,1,196,954,106
Смоленскаяобласть,331,21,46,365,452,64
Тамбовскаяобласть,312,24,20,460,799,89
Тверскаяобласть,400,27,6,168,1120,223
Тульскаяобласть,400,35,7,183,1261,147
Ярославскаяобласть,400,30,27,272,1177,338
Москва,0,662,2,0,17155,4092
РеспубликаАдыгея,150,10,11,1399,96,14
РеспубликаКалмыкия,150,3,4,1261,53,27
Краснодарскийкрай,290,156,13,1342,4106,1042
Астраханскаяобласть,456,23,21,1392,573,85
Волгоградскаяобласть,406,49,33,970,2049,414
Ростовскаяобласть,290,99,21,1074,5700,1302
РеспубликаКарелия,381,15,0,1017,441,100
РеспубликаКоми,444,27,1,1313,1053,291
Архангельскаяобласть,462,32,0,1236,1172,110
Вологодскаяобласть,306,27,22,471,1518,226
Калининградскаяобласть,562,22,0,1284,703,134
Ленинградскаяобласть,280,37,1,706,590,102
Мурманскаяобласть,531,26,0,1865,1070,118
Новгородскаяобласть,300,15,19,529,377,81
Псковскаяобласть,325,13,42,731,469,59
Санкт-Петербург,280,179,1,706,6703,1209
Ненецкийавтономныйокруг,150,3,1,2367,15,10
Курганскаяобласть,594,16,0,2052,829,90
Свердловскаяобласть,544,115,0,1797,6038,1534
Тюменскаяобласть,594,34,0,2119,2159,386
Челябинскаяобласть,531,100,0,1776,3488,658
Ханты-Мансийскийавтономныйокруг,788,36,0,3111,3082,278
Ямало-Ненецкийавтономныйокруг,1133,33,0,3636,931,88
РеспубликаБашкортостан,475,106,4,1345,3777,630
РеспубликаМарийЭл,431,11,28,749,243,53
РеспубликаМордовия,406,13,65,653,683,104
РеспубликаТатарстан,419,115,11,810,3527,508
УдмуртскаяРеспублика,456,32,0,1200,1427,244
ЧувашскаяРеспублика,1000,21,105,661,1431,196
Кировскаяобласть,412,34,0,959,1246,293
Нижегородскаяобласть,300,54,40,421,5836,906
Оренбургскаяобласть,475,32,18,1469,1883,217
Пензенскаяобласть,350,41,45,640,1333,150
Самарскаяобласть,444,68,16,1054,3507,583
Саратовскаяобласть,387,42,28,846,2213,444
Ульяновскаяобласть,400,27,23,889,1037,126
Пермскийкрай,462,75,0,1442,2177,417
РеспубликаДагестан,963,70,41,1804,731,268
РеспубликаИнгушетия,1000,7,223,1764,80,11
Кабардино-БалкарскаяРеспублика,150,14,159,1652,238,62
Карачаево-ЧеркесскаяРеспублика,150,8,91,1500,145,33
РеспубликаСевернаяОсетия,595,14,33,1762,383,128
ЧеченскаяРеспублика,595,27,56,1848,85,30
Ставропольскийкрай,444,60,32,1411,2226,583
РеспубликаКрым,450,56,2,1743,2197,712
РеспубликаБеларусь,150,161,41,720,13333,3664
Азербайджан,1000,139,74,2300,25,0
Приморскийк,1320,55,1,9174,1627,238
Алтай,150,4,6,3827,220,30
Томскаяо,1000,23,1,2703,829,118
Хакасия,1045,12,1,4471,705,125
Новосибирскаяо,769,63,0,3356,7902,1584
Магаданскаяо,2373,7,2,10337,40,14
Омскаяо,656,48,0,2703,1451,216
Алтайскийк,831,4,2,3617,3059,476
Хабаровскийк,150,42,0,8385,1623,261
Забайкальскийк,665,22,0,6274,1783,408
Якутия,1700,33,0,8370,524,80
ЕврейскаяАО,1655,4,1,8235,62,3
